"name","url","address","LocName","fX","fY","iConf","iLvl"
青島食堂 秋葉原店,https://tabelog.com/tokyo/A1310/A131001/13094776/,東京都千代田区神田佐久間町3-20-1,"東京都/千代田区/神田佐久間町/三丁目/２０番地","139.77849","35.69733","5","7"
饗 くろ喜,https://tabelog.com/tokyo/A1310/A131001/13127743/,東京都千代田区神田和泉町2-15四連ビル3号館　1F,"東京都/千代田区/神田和泉町/２番地","139.77948","35.69949","5","7"
麺 みつヰ,https://tabelog.com/tokyo/A1311/A131102/13203387/,東京都台東区西浅草2-10-4あけぼのビル1B,"東京都/台東区/西浅草/二丁目/１０番","139.79057","35.71240","5","7"
煮干しつけ麺 宮元,https://tabelog.com/tokyo/A1315/A131503/13180862/,東京都大田区西蒲田7-8-11F,"東京都/大田区/西蒲田/七丁目/８番","139.71362","35.56406","5","7"
麺屋 Hulu-lu,https://tabelog.com/tokyo/A1305/A130501/13136428/,東京都豊島区池袋2-60-7,"東京都/豊島区/池袋/二丁目/６０番","139.70920","35.73472","5","7"
たんたん亭,https://tabelog.com/tokyo/A1318/A131805/13000705/,東京都杉並区浜田山3-31-4,"東京都/杉並区/浜田山/三丁目/３１番","139.62758","35.68170","5","7"
純手打ち 麺と未来,https://tabelog.com/tokyo/A1318/A131802/13221486/,東京都世田谷区北沢3-25-1シャトルヒエイ1F,"東京都/世田谷区/北沢/三丁目/２５番","139.66896","35.66404","5","7"
八咫烏,https://tabelog.com/tokyo/A1309/A130906/13198710/,東京都千代田区九段北1-9-2エクセントビル九段1F,"東京都/千代田区/九段北/一丁目/９番","139.75078","35.69785","5","7"
食堂七彩,https://tabelog.com/tokyo/A1321/A132104/13145418/,東京都中野区鷺宮3-1-12,"東京都/中野区/鷺宮/三丁目/１番","139.64394","35.72301","5","7"
燦燦斗,https://tabelog.com/tokyo/A1323/A132304/13038064/,東京都北区中十条3-16-15,"東京都/北区/中十条/三丁目/１６番","139.72539","35.76453","5","7"
Ramen　にじゅうぶんのいち,https://tabelog.com/tokyo/A1324/A132401/13147594/,東京都荒川区東尾久2-19-10,"東京都/荒川区/東尾久/二丁目/１９番","139.77267","35.74445","5","7"
ラーメン二郎 三田本店,https://tabelog.com/tokyo/A1314/A131402/13006051/,東京都港区三田2-16-4,"東京都/港区/三田/二丁目/１６番","139.74152","35.64804","5","7"
RAMEN GOTTSU,https://tabelog.com/tokyo/A1321/A132102/13153294/,東京都練馬区練馬1-29-16,"東京都/練馬区/練馬/一丁目/２９番","139.65646","35.73964","5","7"
四川担担麺 阿吽 湯島本店,https://tabelog.com/tokyo/A1311/A131101/13042564/,東京都文京区湯島3-25-11,"東京都/文京区/湯島/三丁目/２５番","139.76965","35.70679","5","7"
寿製麺 よしかわ 西台駅前店,https://tabelog.com/tokyo/A1322/A132205/13228611/,東京都板橋区蓮根3-8-14,"東京都/板橋区/蓮根/三丁目/８番","139.67496","35.78628","5","7"
麺屋 はし本,https://tabelog.com/tokyo/A1319/A131902/13205769/,東京都中野区新井1-25-4中野ニューハウジング1F,"東京都/中野区/新井/一丁目/２５番","139.66577","35.71182","5","7"
勝本 水道橋店,https://tabelog.com/tokyo/A1310/A131003/13179757/,東京都千代田区神田三崎町2-15-5,"東京都/千代田区/神田三崎町/二丁目/１５番","139.75291","35.70079","5","7"
麺屋 さくら井,https://tabelog.com/tokyo/A1320/A132002/13202438/,東京都武蔵野市西久保2-15-27,"東京都/武蔵野市/西久保/二丁目/１５番","139.55879","35.70917","5","7"
らぁめん 葉月,https://tabelog.com/tokyo/A1317/A131714/13008248/,東京都大田区雪谷大塚町11-8,"東京都/大田区/雪谷大塚町/１１番","139.67868","35.59031","5","7"
鶏そば  ムタヒロ 2号店,https://tabelog.com/tokyo/A1325/A132502/13147068/,東京都国分寺市本町2-3-6タリホービル1Ｆ右,"東京都/国分寺市/本町/二丁目/３番","139.48312","35.70087","5","7"
中華そば　堀川,https://tabelog.com/tokyo/A1317/A131703/13243173/,東京都目黒区自由が丘3-7-1,"東京都/目黒区/自由が丘/三丁目/７番","139.66522","35.60893","5","7"
純手打ち だるま,https://tabelog.com/tokyo/A1319/A131903/13218715/,東京都杉並区和田1-18-3,"東京都/杉並区/和田/一丁目/１８番","139.66656","35.69089","5","7"
麺処 晴,https://tabelog.com/tokyo/A1311/A131104/13143115/,東京都台東区下谷1-11-7,"東京都/台東区/下谷/一丁目/１１番","139.78323","35.71948","5","7"
ラーメン屋 トイ・ボックス,https://tabelog.com/tokyo/A1324/A132401/13162973/,東京都荒川区東日暮里1-1-31階,"東京都/荒川区/東日暮里/一丁目/１番","139.79192","35.73127","5","7"
はやし,https://tabelog.com/tokyo/A1303/A130301/13003367/,東京都渋谷区道玄坂1-14-9ソシアル道玄坂　１Ｆ,"東京都/渋谷区/道玄坂/一丁目/１４番","139.69818","35.65743","5","7"
らぁめん小池,https://tabelog.com/tokyo/A1318/A131809/13172994/,東京都世田谷区上北沢4-19-18上北沢ハイネスコーポ1F,"東京都/世田谷区/上北沢/四丁目/１９番","139.62224","35.67013","5","7"
中華そば しば田,https://tabelog.com/tokyo/A1326/A132601/13162681/,東京都調布市若葉町2-25-20,"東京都/調布市/若葉町/二丁目/２５番","139.59003","35.65636","5","7"
麺屋一燈,https://tabelog.com/tokyo/A1312/A131204/13111737/,東京都葛飾区東新小岩1-4-17,"東京都/葛飾区/東新小岩/一丁目/４番","139.85764","35.71918","5","7"
六厘舎,https://tabelog.com/tokyo/A1302/A130201/13093047/,東京都千代田区丸の内1-9-1東京駅一番街B1F東京ラーメンストリート内,"東京都/千代田区/丸の内/一丁目/９番","139.76724","35.68125","5","7"
MENSHO,https://tabelog.com/tokyo/A1323/A132302/13203848/,東京都文京区音羽1-17-16中銀音羽マンシオン１F,"東京都/文京区/音羽/一丁目/１７番","139.72852","35.71650","5","7"
銀座 八五,https://tabelog.com/tokyo/A1301/A130101/13228602/,東京都中央区銀座3-14-2第一はなぶさビル1F,"東京都/中央区/銀座/三丁目/１４番","139.76932","35.67003","5","7"
自家製中華そば としおか,https://tabelog.com/tokyo/A1305/A130504/13182315/,東京都新宿区弁天町20,"東京都/新宿区/弁天町/２０番地","139.72665","35.70465","5","7"
らーめんMAIKAGURA,https://tabelog.com/tokyo/A1318/A131813/13218425/,東京都世田谷区船橋1-38-4,"東京都/世田谷区/船橋/一丁目/３８番","139.61867","35.64828","5","7"
中華蕎麦にし乃,https://tabelog.com/tokyo/A1310/A131004/13218311/,東京都文京区本郷3-30-7熊野ビルB101,"東京都/文京区/本郷/三丁目/３０番","139.76173","35.70652","5","7"
メンドコロ キナリ,https://tabelog.com/tokyo/A1319/A131901/13221001/,東京都中野区東中野1-51-4大総ビル1F,"東京都/中野区/東中野/一丁目/５１番","139.68578","35.70567","5","7"
手打式超多加水麺 ののくら,https://tabelog.com/tokyo/A1324/A132403/13215713/,東京都葛飾区亀有3-11-11マーベラス大協ビル1F,"東京都/葛飾区/亀有/三丁目/１１番","139.84740","35.76381","5","7"
かしわぎ,https://tabelog.com/tokyo/A1319/A131901/13209326/,東京都中野区東中野1-36-7,"東京都/中野区/東中野/一丁目/３６番","139.68576","35.70422","5","7"
中華そば 多賀野,https://tabelog.com/tokyo/A1317/A131712/13003421/,東京都品川区中延2-15-10,"東京都/品川区/中延/二丁目/１５番","139.71082","35.60991","5","7"
風雲児,https://tabelog.com/tokyo/A1304/A130401/13044091/,東京都渋谷区代々木2-14-3北斗第一ビルB1F,"東京都/渋谷区/代々木/二丁目/１４番","139.69664","35.68682","5","7"
中華蕎麦 蘭鋳,https://tabelog.com/tokyo/A1319/A131903/13113532/,東京都杉並区堀ノ内2-13-13,"東京都/杉並区/堀ノ内/二丁目/１３番","139.65488","35.68872","5","7"
スープメン,https://tabelog.com/tokyo/A1322/A132203/13227469/,東京都板橋区南常盤台1-26-9常盤台ダイカンプラザシティ1F,"東京都/板橋区/南常盤台/一丁目/２６番","139.69041","35.75794","5","7"
中華そば べんてん,https://tabelog.com/tokyo/A1322/A132204/13200351/,東京都練馬区旭町3-25-2,"東京都/練馬区/旭町/三丁目/２５番","139.62883","35.77624","5","7"
中華そば 満鶏軒,https://tabelog.com/tokyo/A1312/A131201/13220773/,東京都墨田区江東橋2-5-3,"東京都/墨田区/江東橋/二丁目/５番","139.81233","35.69391","5","7"
竹末東京Premium,https://tabelog.com/tokyo/A1312/A131203/13167920/,東京都墨田区業平5-14-7フラーリシ押上,"東京都/墨田区/業平/五丁目/１４番","139.81754","35.70819","5","7"
中華そば 和渦 TOKYO,https://tabelog.com/tokyo/A1314/A131405/13233678/,東京都品川区北品川3-2-1MTMSTUDIO2F,"東京都/品川区/北品川/三丁目/２番","139.73845","35.62186","5","7"
麺処 しろくろ,https://tabelog.com/tokyo/A1318/A131809/13242508/,東京都杉並区上高井戸1-1-7,"東京都/杉並区/上高井戸/一丁目/１番","139.61560","35.66995","5","7"
八雲,https://tabelog.com/tokyo/A1317/A131705/13204333/,東京都目黒区東山3-6-15エビヤビル1F,"東京都/目黒区/東山/三丁目/６番","139.68704","35.64997","5","7"
中華ソバ 伊吹,https://tabelog.com/tokyo/A1322/A132205/13163874/,東京都板橋区前野町4-58-10見次パークマンション1F,"東京都/板橋区/前野町/四丁目/５８番","139.69254","35.77278","5","7"
麺処 びぎ屋,https://tabelog.com/tokyo/A1317/A131702/13093976/,東京都目黒区鷹番2-4-9,"東京都/目黒区/鷹番/二丁目/４番","139.68909","35.62898","5","7"
らぁ麺やまぐち,https://tabelog.com/tokyo/A1305/A130504/13151200/,東京都新宿区西早稲田3-13-41F,"東京都/新宿区/西早稲田/三丁目/１３番","139.71391","35.71015","5","7"
銀座 朧月,https://tabelog.com/tokyo/A1301/A130101/13118141/,東京都中央区銀座6-3-5第一高橋ビル1F,"東京都/中央区/銀座/六丁目/３番","139.76091","35.67129","5","7"
麺処 ほん田 秋葉原本店,https://tabelog.com/tokyo/A1310/A131001/13246285/,東京都千代田区神田花岡町1-19,"東京都/千代田区/神田花岡町/１番地","139.77461","35.69864","5","7"
らぁめん山と樹,https://tabelog.com/tokyo/A1319/A131904/13204607/,東京都杉並区高円寺南5-21-7高円寺マンション107,"東京都/杉並区/高円寺南/五丁目/２１番","139.65500","35.70345","5","7"
喜楽,https://tabelog.com/tokyo/A1303/A130301/13001705/,東京都渋谷区道玄坂2-17-6,"東京都/渋谷区/道玄坂/二丁目/１７番","139.69669","35.65878","5","7"
らーめん飛粋,https://tabelog.com/tokyo/A1315/A131503/13217922/,東京都大田区蒲田5-2-5,"東京都/大田区/蒲田/五丁目/２番","139.71729","35.56422","5","7"
麺屋ひょっとこ 交通会館店,https://tabelog.com/tokyo/A1301/A130102/13046637/,東京都千代田区有楽町2-10-1東京交通会館B1F,"東京都/千代田区/有楽町/二丁目/１０番","139.76436","35.67495","5","7"
創作麺工房 鳴龍,https://tabelog.com/tokyo/A1323/A132302/13141302/,東京都豊島区南大塚2-34-4SKY南大塚1F,"東京都/豊島区/南大塚/二丁目/３４番","139.73044","35.72855","5","7"
田中商店 本店,https://tabelog.com/tokyo/A1324/A132404/13003726/,東京都足立区一ツ家2-14-6,"東京都/足立区/一ツ家/二丁目/１４番","139.81102","35.78439","5","7"
中華そば 西川,https://tabelog.com/tokyo/A1318/A131813/13213036/,東京都世田谷区砧2-15-10メゾンドオーポン1F,"東京都/世田谷区/砧/二丁目/１５番","139.61810","35.64440","5","7"
神名備,https://tabelog.com/tokyo/A1311/A131105/13006070/,東京都文京区千駄木4-21-3,"東京都/文京区/千駄木/四丁目/２１番","139.76074","35.73105","5","7"
ラーメン大至,https://tabelog.com/tokyo/A1310/A131002/13042832/,東京都文京区湯島2-1-2佐藤ビル1F,"東京都/文京区/湯島/二丁目/１番","139.76637","35.70333","5","7"
中華そば屋 伊藤,https://tabelog.com/tokyo/A1323/A132304/13008779/,東京都北区豊島4-5-3,"東京都/北区/豊島/四丁目/５番","139.74620","35.76358","5","7"
町田汁場 しおらーめん進化 本店,https://tabelog.com/tokyo/A1327/A132701/13050023/,東京都町田市森野3-18-17ウイング森野1F,"東京都/町田市/森野/三丁目/１８番","139.43840","35.55313","5","7"
神保町 黒須,https://tabelog.com/tokyo/A1310/A131003/13201888/,東京都千代田区神田神保町3-1-19,"東京都/千代田区/神田神保町/三丁目/１番","139.75508","35.69566","5","7"
一番いちばん,https://tabelog.com/tokyo/A1327/A132701/13001469/,東京都町田市中町1-28-24大成ビル　１Ｆ,"東京都/町田市/中町/一丁目/２８番","139.44711","35.54978","5","7"
煮干そば 流。,https://tabelog.com/tokyo/A1323/A132304/13175140/,東京都北区上十条1-13-2,"東京都/北区/上十条/一丁目/１３番","139.72250","35.76120","5","7"
麺や金時,https://tabelog.com/tokyo/A1321/A132101/13139195/,東京都練馬区小竹町1-2-7,"東京都/練馬区/小竹町/一丁目/２番","139.67839","35.73867","5","7"
迂直,https://tabelog.com/tokyo/A1319/A131906/13229952/,東京都杉並区天沼3-10-16-102,"東京都/杉並区/天沼/三丁目/１０番","139.61781","35.70728","5","7"
RAMEN CiQUE,https://tabelog.com/tokyo/A1319/A131905/13048520/,東京都杉並区阿佐谷南3-10-8,"東京都/杉並区/阿佐谷南/三丁目/１０番","139.63039","35.70201","5","7"
麺処 銀笹,https://tabelog.com/tokyo/A1301/A130103/13119563/,東京都中央区銀座8-15-2藤ビル1F,"東京都/中央区/銀座/八丁目/１５番","139.76352","35.66618","5","7"
こうかいぼう,https://tabelog.com/tokyo/A1313/A131303/13005052/,東京都江東区深川2-13-10ニックハイム深川1F,"東京都/江東区/深川/二丁目/１３番","139.79872","35.67543","5","7"
鶏こく中華 すず喜,https://tabelog.com/tokyo/A1320/A132002/13215409/,東京都三鷹市下連雀3-28-21公団三鷹駅前第2アパートB1,"東京都/三鷹市/下連雀/三丁目/２８番","139.56133","35.69979","5","7"
ラーメン 健やか,https://tabelog.com/tokyo/A1320/A132002/13207054/,東京都武蔵野市中町1-28-1矢島ビル102,"東京都/武蔵野市/中町/一丁目/２８番","139.56458","35.70405","5","7"
麺庵ちとせ,https://tabelog.com/tokyo/A1305/A130504/13182327/,東京都新宿区市谷台町18-5,"東京都/新宿区/市谷台町/１８番","139.71724","35.69456","5","7"
つけ麺 道,https://tabelog.com/tokyo/A1324/A132403/13094595/,東京都葛飾区亀有5-28-17,"東京都/葛飾区/亀有/五丁目/２８番","139.84654","35.76825","5","7"
宍道湖しじみ中華蕎麦 琥珀,https://tabelog.com/tokyo/A1315/A131503/13234195/,東京都大田区西六郷2-1-3,"東京都/大田区/西六郷/二丁目/１番","139.71098","35.55119","5","7"
超純水採麺 天国屋,https://tabelog.com/tokyo/A1327/A132701/13162732/,東京都町田市金森4-1-1,"東京都/町田市/金森/四丁目/１番","139.46509","35.52601","5","7"
クラム＆ボニート 貝節麺ライク,https://tabelog.com/tokyo/A1319/A131903/13219341/,東京都杉並区方南2-21-21,"東京都/杉並区/方南/二丁目/２１番","139.65764","35.68391","5","7"
ほっこり中華そば もつけ,https://tabelog.com/tokyo/A1329/A132904/13192847/,東京都八王子市万町34-1,"東京都/八王子市/万町/３４番地","139.33365","35.65321","5","7"
スパイス・ラー麺 卍力 西葛西店,https://tabelog.com/tokyo/A1313/A131305/13168253/,東京都江戸川区西葛西3-16-5スワームマンション1F,"東京都/江戸川区/西葛西/三丁目/１６番","139.85838","35.66558","5","7"
ラーメン巌哲,https://tabelog.com/tokyo/A1305/A130504/13167439/,東京都新宿区西早稲田1-10-4,"東京都/新宿区/西早稲田/一丁目/１０番","139.72206","35.71115","5","7"
麺屋 翔 本店,https://tabelog.com/tokyo/A1304/A130401/13040181/,東京都新宿区西新宿7-22-34,"東京都/新宿区/西新宿/七丁目/２２番","139.69585","35.69613","5","7"
中華そば 児ノ木,https://tabelog.com/tokyo/A1319/A131901/13154006/,東京都新宿区上落合1-5-3,"東京都/新宿区/上落合/一丁目/５番","139.69115","35.71143","5","7"
らぁ麺 はやし田 新宿本店,https://tabelog.com/tokyo/A1304/A130401/13216496/,東京都新宿区新宿3-31-5新宿ペガサス館1F,"東京都/新宿区/新宿/三丁目/３１番","139.70381","35.69068","5","7"
麺尊 RAGE,https://tabelog.com/tokyo/A1319/A131907/13178309/,東京都杉並区松庵3-37-22レンツェン松庵1F,"東京都/杉並区/松庵/三丁目/３７番","139.59877","35.70208","5","7"
麺屋吉左右,https://tabelog.com/tokyo/A1313/A131303/13021140/,東京都江東区東陽1-11-3,"東京都/江東区/東陽/一丁目/１１番","139.80972","35.66842","5","7"
新橋 纏,https://tabelog.com/tokyo/A1301/A130103/13156937/,東京都港区新橋3-13-2IKENO-51F,"東京都/港区/新橋/三丁目/１３番","139.75623","35.66578","5","7"
麺処 篠はら,https://tabelog.com/tokyo/A1322/A132202/13188419/,東京都豊島区池袋3-1-4,"東京都/豊島区/池袋/三丁目/１番","139.70181","35.73329","5","7"
煮干鰮らーめん 圓 八王子本店,https://tabelog.com/tokyo/A1329/A132904/13091258/,東京都八王子市横山町21-21,"東京都/八王子市/横山町/２１番","139.33778","35.66046","5","7"
中華そば ふくみみ,https://tabelog.com/tokyo/A1326/A132602/13016486/,東京都府中市美好町1-19-6伊藤コーポ1F,"東京都/府中市/美好町/一丁目/１９番","139.47006","35.67372","5","7"
SOBA HOUSE 金色不如帰 新宿御苑本店,https://tabelog.com/tokyo/A1304/A130402/13222172/,東京都新宿区新宿2-4-1第22宮廷マンション1F,"東京都/新宿区/新宿/二丁目/４番","139.70784","35.68890","5","7"
キング製麺,https://tabelog.com/tokyo/A1323/A132303/13232817/,東京都北区王子本町1-14-1高崎ビル1F,"東京都/北区/王子本町/一丁目/１４番","139.73347","35.75349","5","7"
麺や 七彩,https://tabelog.com/tokyo/A1302/A130203/13184399/,東京都中央区八丁堀2-13-2,"東京都/中央区/八丁堀/二丁目/１３番","139.77628","35.67716","5","7"
はつね,https://tabelog.com/tokyo/A1319/A131907/13000717/,東京都杉並区西荻南3-11-9,"東京都/杉並区/西荻南/三丁目/１１番","139.59953","35.70330","5","7"
中華そば うお青,https://tabelog.com/tokyo/A1329/A132903/13229181/,東京都日野市石田2-9-1アイビル1F,"東京都/日野市/石田/二丁目/９番","139.41838","35.66971","5","7"
麺屋海神 新宿店,https://tabelog.com/tokyo/A1304/A130401/13045287/,東京都新宿区新宿3-35-7さんらくビル　２Ｆ,"東京都/新宿区/新宿/三丁目/３５番","139.70238","35.68996","5","7"
月曜日は煮干rabo,https://tabelog.com/tokyo/A1318/A131805/13229593/,東京都杉並区大宮1-2-3,"東京都/杉並区/大宮/一丁目/２番","139.64565","35.68259","5","7"
むぎとオリーブ 銀座店,https://tabelog.com/tokyo/A1301/A130101/13164932/,東京都中央区銀座6-12-12銀座ステラビル1F,"東京都/中央区/銀座/六丁目/１２番","139.76462","35.66914","5","7"
らーめん改,https://tabelog.com/tokyo/A1311/A131103/13191776/,東京都台東区蔵前4-20-10宮内ビル1F,"東京都/台東区/蔵前/四丁目/２０番","139.78993","35.70407","5","7"
つけ麺 五ノ神製作所 新宿店,https://tabelog.com/tokyo/A1304/A130401/13120708/,東京都渋谷区千駄ヶ谷5-33-16シャトレー新宿御苑第一1F,"東京都/渋谷区/千駄ケ谷/五丁目/３３番","139.70346","35.68734","5","7"
